Claude,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
delta intensity 1 ,-1.40,-2.00,-0.97,-1.50,-1.30,-2.07,-1.13,-1.95,-2.00,-2.23,-1.93,-1.97,-1.77,-2.00,-2.10,-1.47
delta intensity 3,0.00,-0.40,-0.30,-0.30,-0.03,-0.67,-0.20,-0.13,-0.80,-0.17,-0.33,-0.50,-0.10,0.13,-0.83,-0.20
delta intensity 5,1.00,0.60,0.37,0.90,1.10,0.40,0.40,1.69,0.40,0.70,0.80,0.70,0.70,1.00,0.30,0.53
,,,,,,,,,,,,,,,,
GPT4o,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
delta intensity 1 ,-2.90,-3.07,-2.70,-3.00,-2.30,-2.97,-2.60,-2.50,-2.87,-2.90,-2.20,-2.53,-3.20,-2.50,-3.10,-2.27
delta intensity 3,-0.90,-1.20,-0.63,-1.00,-0.30,-1.10,-0.60,-0.50,-1.00,-0.90,-0.60,-0.80,-1.20,-0.50,-1.10,-0.40
delta intensity 5,0.43,0.40,1.17,0.87,1.43,0.50,0.20,1.10,1.00,0.70,1.40,1.07,0.40,1.50,0.77,0.93
,,,,,,,,,,,,,,,,
Gemini,WARMTH,INTELLECT,EMOTIONAL STABILITY,ASSERTIVENESS,GREGARIOUSNESS,DUTIFULNESS,FRIENDLINESS,SENSITIVITY,DISTRUST,IMAGINATION,RESERVE,ANXIETY,COMPLEXITY,INTROVERSION,ORDERLINESS,EMOTIONALITY
delta intensity 1 ,-2.40,-2.53,-1.73,-1.73,-1.50,-2.37,-1.77,-1.20,-1.73,-1.33,0.03,-2.80,-2.27,0.13,-2.40,-1.80
delta intensity 3,-0.20,-0.33,-0.67,0.27,0.30,-0.77,-0.57,-0.07,0.13,0.53,0.37,-0.73,-0.33,0.20,-0.27,0.20
delta intensity 5,1.07,0.87,0.80,1.73,1.23,0.43,0.50,1.73,1.53,1.53,1.83,1.13,1.60,1.40,1.47,1.07